catcher,effect_2025,effect_2025_lower,effect_2025_upper,effect_2026,effect_2026_lower,effect_2026_upper,change,change_lower,change_upper,probability_increased,pitches_2025,pitches_2026,extra_strikes_2025,extra_strikes_2026,framing_runs_2025,framing_runs_2026
455117,0.056523505758276825,-0.0768469197061939,0.2066121986524062,0.05700509529705998,-0.08942065618594236,0.21859736073759958,0.00048158953878315143,-0.06827396990843185,0.07180861125715589,0.506,555.0,0.0,7.84263642396091,0.0,0.9803295529951137,0.0
506702,0.0014270198720477331,-0.14110349374023656,0.14950536004277784,0.0011474578677961983,-0.15021763984552763,0.16100789870426932,-0.00027956200425153523,-0.0687543695307119,0.06740746566159012,0.498,16.0,174.0,0.005708079488190933,0.049914417249134625,0.0007135099360238666,0.006239302156141828
518595,-0.028266080147040795,-0.15957873553109,0.0926057324047907,-0.023018532966018877,-0.16577992342316342,0.11857347405630111,0.00524754718102192,-0.05258398465411552,0.08055157604496235,0.54675,596.0,229.0,-4.211645941909079,-1.3178110123045808,-0.5264557427386348,-0.1647263765380726
521692,-0.04930107478991309,-0.16818974810735485,0.06432205999761732,-0.044138415930568616,-0.1764442211647288,0.08532995063504627,0.005162658859344479,-0.053450682401210384,0.07856206378662514,0.55875,1003.0,533.0,-12.362244503570706,-5.881443922748268,-1.5452805629463382,-0.7351804903435335
542194,0.006492310850643205,-0.1504871588887155,0.16180559251923185,0.00538470954122377,-0.16593134548388933,0.17412010152714147,-0.0011076013094194351,-0.07148503613347242,0.062482941740512145,0.4895,15.0,19.0,0.024346165689912016,0.02557737032081291,0.003043270711239002,0.0031971712901016137
542963,-0.00010846151963594986,-0.14422032819604286,0.147960661126707,0.0004044658110432344,-0.15645041463982456,0.15481309904293722,0.000512927330679184,-0.06508614188086034,0.06815065192470357,0.5105,40.0,0.0,-0.0010846151963594987,0.0,-0.00013557689954493734,0.0
543309,0.059427548349034735,-0.05395702455630491,0.19159337556790884,0.06087575688104168,-0.06232134121867064,0.19587082042486553,0.0014482085320069466,-0.06083863906054554,0.06962948858232768,0.516,698.0,519.0,10.370107186906562,7.898629455315158,1.2962633983633203,0.9873286819143947
543510,-0.038875268389402855,-0.1834224280989938,0.08658895147661984,-0.04110899088473995,-0.19228935030893157,0.09365596654317433,-0.002233722495337103,-0.06962190004243334,0.05955272707066229,0.47675,307.0,387.0,-2.983676848886669,-3.9772948680985905,-0.3729596061108336,-0.4971618585123238
543592,-0.03612253358709696,-0.19220705703271396,0.1017968554599975,-0.03702787316496613,-0.20130743955980537,0.11574958279096037,-0.0009053395778691606,-0.07172248484813502,0.06922136659886635,0.491,129.0,0.0,-1.164951708183877,-0.0,-0.14561896352298462,-0.0
543877,0.0020219981613674803,-0.11317171518513486,0.11612013711306989,0.005832100972823083,-0.12113990389409225,0.1283424447743112,0.003810102811455603,-0.05399620419372183,0.07407738931349515,0.537,628.0,815.0,0.3174537113346944,1.1882905732127031,0.0396817139168368,0.1485363216515879
