catcher,effect_2025,effect_2025_lower,effect_2025_upper,effect_2026,effect_2026_lower,effect_2026_upper,change,change_lower,change_upper,probability_increased
455117,0.014723800097054653,-0.04824683363774835,0.11353718882934534,0.014055234125296722,-0.08798500116823373,0.12802282275106047,-0.0006685659717579297,-0.08468482655923924,0.07599279100583094,0.494
506702,-0.0016107926323915495,-0.08133121561356167,0.07623142818168542,-0.004184472846691177,-0.11191189028357983,0.0928476274602104,-0.0025736802142996276,-0.08401045193238099,0.07102922072984359,0.485
518595,-0.006019215054672616,-0.08558397849884374,0.06412688686556631,-0.0011523748089503072,-0.10408637426768035,0.10063012848673829,0.004866840245722309,-0.063058102361049,0.09404001895737303,0.5275
521692,-0.010284189615812508,-0.08466096400962093,0.0506252146754947,-0.0031554981030950014,-0.09948611740626655,0.09979703171686125,0.007128691512717507,-0.062325407925603274,0.09755575762273991,0.567
542194,0.0034649268118031175,-0.08057392482604202,0.09056427377205244,0.005572050245466535,-0.09861827396984348,0.11376715541051162,0.002107123433663419,-0.06968704739861191,0.07731208457281238,0.5205
542963,-0.0006367607339994199,-0.0858442383222232,0.08339497774887833,-0.0009180145212859906,-0.10497905563951684,0.11140223296100375,-0.0002812537872865705,-0.07574507547635109,0.08189824851661576,0.5
543309,0.016852270957910167,-0.044108517465637605,0.09955015272267126,0.02439587463167317,-0.0662156028602672,0.129882608253678,0.007543603673762998,-0.06624407178928586,0.08968123116855181,0.59
543510,-0.0001964661359396796,-0.07630200139509329,0.06867914890784406,-0.0038683830141839786,-0.11172033093677852,0.09846520521199065,-0.003671916878244298,-0.0895174374502671,0.06757645672388478,0.47
543592,-0.009000713154025479,-0.10545947672798592,0.07158363841175869,-0.00987589485060173,-0.12783235073283986,0.10037770913265691,-0.0008751816965762517,-0.08570904913388717,0.07969533782537674,0.5035
543877,-0.004347963080361088,-0.08536975653665896,0.06876647942707732,-0.0001565059742767762,-0.09214343782005005,0.09269358529324279,0.0041914571060843115,-0.06706982113632083,0.0830661840381313,0.553
