catcher,effect_2025,effect_2025_lower,effect_2025_upper,effect_2026,effect_2026_lower,effect_2026_upper,change,change_lower,change_upper,probability_increased,probability_decreased
455117,0.014677598260051454,-0.055512831512963705,0.10595317261989463,0.015025873002542045,-0.08130941829120775,0.12669081311423033,0.0003482747424905912,-0.07182118918484341,0.076686530012032,0.49775,0.50225
506702,-0.0011588171987518584,-0.08515430759278785,0.08092485765740584,-0.002450765673467073,-0.10753609442449664,0.09837824934013233,-0.0012919484747152142,-0.0734910808999148,0.07052118115852603,0.481,0.519
518595,-0.005909170420831635,-0.08298986642375232,0.062090627677410776,-0.0024563680778414447,-0.10542271899044124,0.0973147906589792,0.00345280234299019,-0.0687522772118478,0.08891680524415672,0.53425,0.46575
521692,-0.009870272897545707,-0.08606733409995154,0.055964435241509514,-0.003426519943921676,-0.10194378385796474,0.09524342532962797,0.006443752953624033,-0.057823989396524715,0.08657669162256895,0.56175,0.43825
542194,0.0040948762698208565,-0.0732210013958289,0.08874416002242194,0.005770948881250574,-0.09840565830051183,0.11712654999368932,0.0016760726114297161,-0.07118532494007467,0.07708831830830291,0.52075,0.47925
542963,-0.0011842886943419985,-0.08318625438920937,0.08398712737168397,-0.0008960804931294051,-0.10932793679174656,0.11149883844100125,0.0002882082012125938,-0.0742280125586945,0.07722081897674157,0.4975,0.5025
543309,0.017315038073698275,-0.042299401900379695,0.1056540686131528,0.02548042576478984,-0.059331201162653696,0.13165302963108683,0.008165387691091559,-0.052517889293628876,0.09336445800266992,0.58725,0.41275
543510,-2.3000162666850177e-05,-0.0739413429758563,0.07283779422278319,-0.003637283879464876,-0.11089410062932581,0.09705510926197064,-0.003614283716798026,-0.08467825339830518,0.06725076186489776,0.46575,0.53425
543592,-0.010084541664300157,-0.10077268174049765,0.06047430070406531,-0.009482694475692636,-0.12039627758155724,0.09148335662908429,0.0006018471886075202,-0.0715529071868181,0.07951912609699462,0.50275,0.49725
543877,-0.0047555607267013135,-0.07256431448563748,0.05880946701720605,-0.0001400496910726461,-0.08809667323027832,0.09413756202355174,0.004615511035628668,-0.05786869338198675,0.08095996992508837,0.5485,0.4515
553869,0.008839706721382441,-0.05611121815499663,0.08788948962236234,0.017838820915466385,-0.06866550343443281,0.1250998586274635,0.008999114194083944,-0.05313081066039198,0.09814334300803008,0.591,0.409
553882,-0.0051517385531363955,-0.0869469276766887,0.06914501547856747,-0.00509523359372217,-0.11502181606483594,0.09476760389071279,5.650495941422508e-05,-0.0790309741277866,0.07647209753431984,0.502,0.498
571466,0.0010451305354679005,-0.07852765959978511,0.07766477690398045,0.0009516593561643542,-0.10383521937686044,0.10546547657521921,-9.347117930354625e-05,-0.07458661116488478,0.07492514043558075,0.497,0.503
571912,0.01127501761366528,-0.06024205625711128,0.10187887942519401,0.016130304925550724,-0.07738658614672854,0.12981235511480502,0.004855287311885445,-0.0624601763175516,0.08356419877753012,0.5495,0.4505
592663,-0.009498993079503042,-0.08296240109301539,0.04951110362239055,-0.01637850730682678,-0.10869140571092696,0.06537352721315716,-0.006879514227323738,-0.08163695377570408,0.05346487921682025,0.4205,0.5795
595453,0.0002432115834067613,-0.08306971208874288,0.08201507966098871,-0.0008676069612919827,-0.11095696183881013,0.1057058930849693,-0.0011108185446987435,-0.08202384408382082,0.07357087470464847,0.48875,0.51125
